,Date,User,Tweet
22,2022-09-09 14:05:02+00:00,GirlsinTech,"We were so proud to have over 149 participants submit MVPs and prototypes to our Ukraine Aid Hackathon! 

Check out the top entries in our latest blog post 👇

https://t.co/KPKfgx5stQ

#GirlsinTech #WeStandWithUkraine #TechSolutions https://t.co/C5jh8w0Hcf"
23,2022-09-07 22:01:50+00:00,GirlsinTech,"And that’s a wrap for the Girls in Tech Conference 2022. 

What was your favourite part?

#GITCON22"
24,2022-09-07 15:40:10+00:00,GirlsinTech,"Ever wondered how to respond and engage more empathetically to those around us? 

Amber Garvey and Drew Tucker from @kertiscreative are here to offer their expert advice. 

#GITCON22"
25,2022-09-07 14:40:11+00:00,GirlsinTech,"Welcoming @Rachel_V_Smith speaking on strategic organisational transformation in healthcare. 

How do you envision the future of healthcare? 

#GITCON22"
26,2022-09-07 14:04:08+00:00,GirlsinTech,"We are so excited to have @afgascoigne 
Kicking us off this morning at the Girls in Tech Conference in Nashville! 

Join the conversation online, tweet us below. 

#GITCON22"
27,2022-08-26 14:04:52+00:00,GirlsinTech,What do YOU think we need to work out for women to be equal? https://t.co/pTPssvBrj2
28,2022-08-24 16:04:08+00:00,GirlsinTech,"Did you know there’s a national day that recognizes women’s right to vote? August 26 is Women’s Equality Day! Check out our latest blog post to learn why it exists and how to celebrate it.

https://t.co/Mpq0nnK2Z9 

#GirlsinTech #GenderEquality #WomensEqualityDay https://t.co/AAgRfWwuA9"
29,2022-08-22 20:08:49+00:00,GirlsinTech,Three-time founder @ABenton CEO of @Streamlytics shares her thoughts on succeeding in the #tech industry as a Black woman. She gives her best advice on how to advance diversity and inclusion in the world of #startups &amp; #entrepreneurship.  ✨https://t.co/RrTnSqWORs #girlsintech
30,2022-08-12 19:47:54+00:00,GirlsinTech,"More women and ethnic minorities are joining the space industry! 👏

But the drive for D&amp;I is not over. Here's how women are fighting for gender equality on earth and in space

https://t.co/KM44SngyJf
 https://t.co/EOH3PQGn6u"
31,2022-08-10 17:02:47+00:00,GirlsinTech,"Check out the top 5 soft skills that’ll boost your career prospects in any industry – tech included.

Plus, soak up our tips for how to develop these transferable skills to maximize your potential.

Read more on our blog page! 👇
https://t.co/VkPxs5FnRJ https://t.co/G771Ls7yBK"
32,2022-08-09 05:55:24+00:00,GirlsinTech,"We teamed up with @awscloud to host an Evening with Experts event, that connected mentors and mentees. 

A mentoring relationship frequently becomes a virtuous cycle: the more you give, the more you grow and learn new things yourself. 

Read more! 👇
https://t.co/pXUzPczLMC"
33,2022-08-08 21:47:20+00:00,GirlsinTech,"@awscloud and @GirlsinTech hosted an Evening with Experts at Amazon HQ2. The event presented an opportunity to hear from public sector &amp; public service tech experts on how to reshape the #tech industry to be more equitable. Learn more. ⬇️
https://t.co/SxnXaZdJ8v #girlsintech"
34,2022-07-29 14:04:26+00:00,GirlsinTech,"10 APPS YOU NEED TO DOWNLOAD!

We’ve compiled a list of apps we think every woman in tech needs to download. Check out our top picks (and download them yourself!) on our latest blog post.

Seriously, they're game changers 💪

https://t.co/RYA2ySaVG7

#GirlsinTech #TechTrends https://t.co/turfMFj5Ry"
